Player,Hometown,High School,Class,Position,Seasons,seasons_played,lat,lon,state,country,is_illinois,is_us,is_international,has_geocode
Chuck Keller,"Effingham, Ill.",Effingham,,G,['1985-86'],1,39.0520902,-88.6029006,IL,United States,True,True,False,True
Curtis Taylor,"Syracuse, N.Y.",Fowler,,G,['1985-86'],1,43.0481221,-76.1474244,NY,United States,False,True,False,True
Efrem Winters,"Chicago, Ill.",King,,F,"['1982-83', '1983-84', '1984-85', '1985-86']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Reggie Woodward,"Chicago, Ill.",King,,G,"['1982-83', '1983-84', '1984-85', '1985-86']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Scott Meents,"Kankakee, Ill.",Herscher,,F,"['1982-83', '1983-84', '1984-85', '1985-86']",4,41.1253903,-87.848682,IL,United States,True,True,False,True
Dave Wells,"Freeport, Ill.",Freeport,,,"['1985-86', '1986-87']",2,42.2966861,-89.6212271,IL,United States,True,True,False,True
Doug Altenberger,"Peoria, Ill.",Richwoods,,G,"['1982-83', '1983-84', '1984-85', '1985-86', '1986-87']",5,40.6938609,-89.5891008,IL,United States,True,True,False,True
Jeff Finke,"Casey, Ill.",Casey,,F,['1986-87'],1,39.2993863,-87.991754,IL,United States,True,True,False,True
Jim Green,"Morton, Ill.",Morton,,F,"['1985-86', '1986-87']",2,40.6127349,-89.459323,IL,United States,True,True,False,True
John Kelly,,,,,['1986-87'],1,,,,,False,True,False,False
Ken Norman,"Chicago, Ill.",Crane,,F,"['1984-85', '1985-86', '1986-87']",3,41.8755616,-87.6244212,IL,United States,True,True,False,True
Olaf Blab,"Munich, West Germany",Charleston (Ill.),,C,"['1984-85', '1985-86', '1986-87']",3,48.1719513,11.5783159,,West Germany,False,False,True,True
Tony Wysinger,"Peoria, Ill.",Central,,G,"['1983-84', '1984-85', '1985-86', '1986-87']",4,40.6938609,-89.5891008,IL,United States,True,True,False,True
Bob Starnes,"Chicago, Ill.",Gage Park (Ill.),,G,"['1959-60', '1960-61', '1961-62', '1962-63', '1987-88']",5,41.8755616,-87.6244212,IL,United States,True,True,False,True
Bryan Brickner,,,,,"['1986-87', '1987-88']",2,,,,,False,True,False,False
Glynn Blackwell,"Highland Park, Mich.",Highland Park,,G,"['1984-85', '1985-86', '1986-87', '1987-88']",4,42.4055981,-83.0965829,MI,United States,False,True,False,True
Jens Kujawa,"Braunschweig, West Germany",Taylorville (Ill.),,C,"['1984-85', '1985-86', '1986-87', '1987-88']",4,52.3256733,10.4661204,,West Germany,False,False,True,True
Phil Kunz,"Carlyle, Ill.",Carlyle,,F,"['1986-87', '1987-88']",2,38.6103264,-89.3725796,IL,United States,True,True,False,True
Randy Scheuneman,,,,,['1987-88'],1,,,,,False,True,False,False
Ron Trice,,,,,['1987-88'],1,,,,,False,True,False,False
Eddie Manzke,"Orland Park, Ill.",Marist,,G,"['1987-88', '1988-89']",2,41.630663,-87.8536288,IL,United States,True,True,False,True
Kenny Battle,"Aurora, Ill.",Aurora West,,F,"['1987-88', '1988-89']",2,41.7571701,-88.3147539,IL,United States,True,True,False,True
Lowell Hamilton,"Chicago, Ill.",Providence St. Mel,,F/C,"['1985-86', '1986-87', '1987-88', '1988-89']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Mark Shapland,"Monticello, Ill.",Monticello,,G,"['1987-88', '1988-89']",2,40.026295,-88.567956,IL,United States,True,True,False,True
Mark Steinberg,,,,,['1988-89'],1,,,,,False,True,False,False
Mike MacDonald,"Streamwood, Ill.",Streamwood,,F,"['1987-88', '1988-89']",2,42.0255827,-88.1784085,IL,United States,True,True,False,True
Nick Anderson,"Chicago, Ill.",Simeon,,G/F,"['1987-88', '1988-89']",2,41.8755616,-87.6244212,IL,United States,True,True,False,True
Tyler Cottingham,,,,,['1988-89'],1,,,,,False,True,False,False
Brian O'Connell,"Schaumburg, Ill.",Schaumburg,,G/F,"['1988-89', '1989-90']",2,42.0333608,-88.083406,IL,United States,True,True,False,True
Brian Schmitz,,,,,['1989-90'],1,,,,,False,True,False,False
Ed Armstrong,,,,,['1989-90'],1,,,,,False,True,False,False
Ervin Small,"Chicago, Ill.",Simeon,,F,"['1987-88', '1988-89', '1989-90']",3,41.8755616,-87.6244212,IL,United States,True,True,False,True
Ken Gibson,"Bloomington, Ill.",Bloomington,,G,['1989-90'],1,40.4797828,-88.9939147,IL,United States,True,True,False,True
Kendall Gill,"Matteson, Ill.",Rich Central,,G,"['1986-87', '1987-88', '1988-89', '1989-90']",4,41.509832,-87.739267,IL,United States,True,True,False,True
Marcus Liberty,"Chicago, Ill.",King,,F,"['1988-89', '1989-90']",2,41.8755616,-87.6244212,IL,United States,True,True,False,True
P.J. Bowman,"Champaign, Ill.",Centennial,,G,"['1988-89', '1989-90']",2,40.1164841,-88.2430932,IL,United States,True,True,False,True
Rodney Jones,"Philadelphia, Pa.",West Philadelphia,,F/C,"['1988-89', '1989-90']",2,39.9527237,-75.1635262,PA,United States,False,True,False,True
Stephen Bardo,"Carbondale, Ill.",Carbondale,,G/F,"['1986-87', '1987-88', '1988-89', '1989-90']",4,37.7274692,-89.216655,IL,United States,True,True,False,True
Todd Russell,,,,,['1989-90'],1,,,,,False,True,False,False
Travis Smith,"Ridgeway, Ill.",Ridgeway,,G,"['1987-88', '1988-89', '1989-90']",3,37.6052107,-88.938777,IL,United States,True,True,False,True
Andy Kpedi,"Warri, Nigeria",Kankakee JC,,C,"['1989-90', '1990-91']",2,5.5186186,5.7480196,,Nigeria,False,False,True,True
Craig Davis,,,,,['1990-91'],1,,,,,False,True,False,False
Larry Smith,"Alton, Ill.",Alton,,G,"['1986-87', '1987-88', '1988-89', '1989-90', '1990-91']",5,38.8908583,-90.1843091,IL,United States,True,True,False,True
Pat Kennedy,,,,,"['1987-88', '1989-90', '1990-91']",3,,,,,False,True,False,False
Ryan Tuttle,,,,,"['1989-90', '1990-91']",2,,,,,False,True,False,False
Scott Bils,,,,,"['1989-90', '1990-91']",2,,,,,False,True,False,False
Scott Radis,,,,,"['1989-90', '1990-91']",2,,,,,False,True,False,False
Scott Spitz,,,,,"['1989-90', '1990-91']",2,,,,,False,True,False,False
Brent Versendaal,,,,,['1991-92'],1,,,,,False,True,False,False
Doug Clarida,"Marion, Ill.",Marion,,G,['1991-92'],1,38.6477381,-88.9232112,IL,United States,True,True,False,True
Jerry Maher,,,,,"['1989-90', '1990-91', '1991-92']",3,,,,,False,True,False,False
